--------- beginning of main
09-01 20:22:50.399 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:51.401 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:52.403 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:53.405 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:54.406 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:55.409 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:56.411 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:57.414 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:58.416 D/OKTV_DIAGNOSTIC(29830): state=1 | isPlaying=false | isLoading=false | pos=-261 | posDelta=0 | buffered=-261 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:22:59.503 D/OKTV_DIAGNOSTIC(29830): state=2 | isPlaying=false | isLoading=false | pos=0 | posDelta=0 | buffered=0 | bufferDelta=0 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
09-01 20:23:00.503 D/OKTV_DIAGNOSTIC(29830): state=2 | isPlaying=false | isLoading=true | pos=15000 | posDelta=15000 | buffered=15000 | bufferDelta=15000 | totalBuf=0 | video=NO_VIDEO | audio=NO_AUDIO | renderedFrames=-1 | frameDelta=0
